,NTAName,Location,total people
218,Tottenville-Charleston,"40.504238,-74.245304",8.0
133,Tottenville-Charleston,"40.508896,-74.246881",12.0
478,Annadale-Huguenot-Prince's Bay-Woodrow,"40.531413,-74.217676",404.0
366,Great Kills-Eltingville,"40.53454,-74.154361",12.0
393,Great Kills-Eltingville,"40.5356,-74.152275",164.0
53,Annadale-Huguenot-Prince's Bay-Woodrow,"40.53752,-74.217724",40.0
29,Annadale-Huguenot-Prince's Bay-Woodrow,"40.54144,-74.210081",5.0
215,Great Kills-Eltingville,"40.542586,-74.145566",26.0
203,Arden Heights-Rossville,"40.546365,-74.20978",5.0
252,Arden Heights-Rossville,"40.550223,-74.187657",4.0
28,Arden Heights-Rossville,"40.551878,-74.211891",6.0
43,Arden Heights-Rossville,"40.557499,-74.207278",280.0
61,Oakwood-Richmondtown,"40.560575,-74.119668",7.0
211,Oakwood-Richmondtown,"40.564194,-74.110115",1.0
178,New Dorp-Midland Beach,"40.566858,-74.113582",185.0
343,New Dorp-Midland Beach,"40.567914,-74.112151",5.0
138,New Dorp-Midland Beach,"40.56862,-74.111454",1.0
313,Miller Field,"40.568821,-74.106638",5.0
196,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"40.569271,-73.863805",7.0
273,New Dorp-Midland Beach,"40.57029,-74.110121",130.0
351,New Dorp-Midland Beach,"40.570412,-74.109522",2.0
415,New Dorp-Midland Beach,"40.570901,-74.109122",9.0
129,Coney Island-Sea Gate,"40.57275,-73.995094",1.0
382,Coney Island-Sea Gate,"40.574968,-74.002804",4.0
220,New Springville-Willowbrook-Bulls Head-Travis,"40.575645,-74.16715",2.0
263,Coney Island-Sea Gate,"40.57719,-74.003225",196.0
426,Coney Island-Sea Gate,"40.577395,-74.000262",136.0
119,Brighton Beach,"40.577504,-73.961553",57.0
453,Brighton Beach,"40.581414,-73.967253",83.0
26,Coney Island-Sea Gate,"40.581609,-73.967352",99.0
114,Grasmere-Arrochar-South Beach-Dongan Hills,"40.586116,-74.092279",16.0
20,New Springville-Willowbrook-Bulls Head-Travis,"40.586159,-74.162561",89.0
162,Grasmere-Arrochar-South Beach-Dongan Hills,"40.586369,-74.092337",2.0
340,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"40.587307,-73.953339",79.0
499,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"40.587519,-73.955125",5.0
149,Grasmere-Arrochar-South Beach-Dongan Hills,"40.588965,-74.101749",232.0
195,New Springville-Willowbrook-Bulls Head-Travis,"40.590881,-74.19196",2.0
425,Gravesend (South),"40.592785,-73.978889",1.0
169,Far Rockaway-Bayswater,"40.59498,-73.751338",313.0
394,Far Rockaway-Bayswater,"40.595047,-73.755819",662.0
341,Far Rockaway-Bayswater,"40.595319,-73.751469",15.0
197,Far Rockaway-Bayswater,"40.595428,-73.754169",3.0
17,Grasmere-Arrochar-South Beach-Dongan Hills,"40.595557,-74.086167",38.0
466,New Springville-Willowbrook-Bulls Head-Travis,"40.595642,-74.161776",1.0
458,Grasmere-Arrochar-South Beach-Dongan Hills,"40.596787,-74.070098",171.0
146,Grasmere-Arrochar-South Beach-Dongan Hills,"40.59721,-74.068752",1.0
4,Gravesend (West),"40.597458,-73.985513",13.0
434,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598016,-74.076208",55.0
236,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598046,-74.075832",204.0
311,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598237,-74.072091",4.0
286,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598406,-74.07912",96.0
480,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598413,-74.0919",1087.0
10,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598498,-74.08127",9.0
361,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598531,-74.072639",103.0
376,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598576,-74.078051",5.0
406,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598662,-74.081064",87.0
400,Grasmere-Arrochar-South Beach-Dongan Hills,"40.598841,-74.06422",6.0
6,Fort Wadsworth,"40.599129,-74.062971",4.0
296,Gravesend (West),"40.600434,-73.995232",147.0
295,Gravesend (West),"40.60188,-73.993637",152.0
277,Rosebank-Shore Acres-Park Hill,"40.604596,-74.069364",8.0
177,Grasmere-Arrochar-South Beach-Dongan Hills,"40.605338,-74.076078",12.0
371,Grasmere-Arrochar-South Beach-Dongan Hills,"40.605776,-74.086303",7.0
442,Bensonhurst,"40.606983,-74.002384",139.0
347,Grasmere-Arrochar-South Beach-Dongan Hills,"40.607445,-74.089593",835.0
448,Rosebank-Shore Acres-Park Hill,"40.607606,-74.07621",6.0
135,Grasmere-Arrochar-South Beach-Dongan Hills,"40.6077,-74.089219",4.0
446,New Springville-Willowbrook-Bulls Head-Travis,"40.608078,-74.156841",1.0
182,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,"40.608165,-74.126855",3.0
89,Bath Beach,"40.608191,-74.001599",6.0
447,West New Brighton-Silver Lake-Grymes Hill,"40.609731,-74.090733",11.0
120,Westerleigh-Castleton Corners,"40.609783,-74.148234",4.0
288,Westerleigh-Castleton Corners,"40.610565,-74.144594",437.0
46,Rosebank-Shore Acres-Park Hill,"40.612359,-74.085058",1.0
98,Bensonhurst,"40.612491,-73.982982",1.0
64,Westerleigh-Castleton Corners,"40.612624,-74.130404",88.0
174,Westerleigh-Castleton Corners,"40.612897,-74.124494",113.0
461,Westerleigh-Castleton Corners,"40.613358,-74.100531",139.0
77,Rosebank-Shore Acres-Park Hill,"40.613787,-74.072302",6.0
501,Rosebank-Shore Acres-Park Hill,"40.613883,-74.084703",173.0
323,Rosebank-Shore Acres-Park Hill,"40.613978,-74.072297",354.0
378,Rosebank-Shore Acres-Park Hill,"40.613999,-74.065902",8.0
374,Westerleigh-Castleton Corners,"40.614308,-74.101888",2.0
124,Rosebank-Shore Acres-Park Hill,"40.614879,-74.084618",14.0
302,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.61498,-74.085133",238.0
171,Rosebank-Shore Acres-Park Hill,"40.615306,-74.073449",109.0
452,Rosebank-Shore Acres-Park Hill,"40.615339,-74.073349",106.0
45,Westerleigh-Castleton Corners,"40.61585,-74.104658",10.0
431,Rosebank-Shore Acres-Park Hill,"40.615865,-74.067359",186.0
40,West New Brighton-Silver Lake-Grymes Hill,"40.616611,-74.102996",305.0
222,Mariner's Harbor-Arlington-Graniteville,"40.616621,-74.156603",1.0
247,Mapleton-Midwood (West),"40.616625,-73.978441",495.0
260,Bensonhurst,"40.618297,-73.991139",146.0
293,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.61864,-74.075755",122.0
348,Bensonhurst,"40.619513,-73.989907",1.0
71,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.620135,-74.077269",190.0
167,Mariner's Harbor-Arlington-Graniteville,"40.620348,-74.152641",131.0
281,Bensonhurst,"40.620663,-73.98875",1134.0
352,Mapleton-Midwood (West),"40.620765,-73.97541",3.0
370,Bay Ridge,"40.621293,-74.026112",4.0
243,Mariner's Harbor-Arlington-Graniteville,"40.621644,-74.16832",348.0
210,Bay Ridge,"40.622299,-74.027696",13.0
237,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.622999,-74.083782",210.0
87,Westerleigh-Castleton Corners,"40.624171,-74.137473",78.0
474,Westerleigh-Castleton Corners,"40.62426,-74.139166",121.0
241,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.624297,-74.079529",202.0
202,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.624338,-74.080149",170.0
410,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.624503,-74.079461",618.0
233,Borough Park,"40.624591,-73.991653",296.0
101,Borough Park,"40.624838,-73.99179",1.0
395,Port Richmond,"40.62506,-74.144481",2.0
245,Mariner's Harbor-Arlington-Graniteville,"40.625433,-74.15241",5.0
432,Midwood,"40.625517,-73.958932",130.0
440,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.626381,-74.078046",119.0
172,Mapleton-Midwood (West),"40.626702,-73.965676",194.0
103,Mariner's Harbor-Arlington-Graniteville,"40.626756,-74.163492",6.0
491,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.626764,-74.075789",28.0
398,Westerleigh-Castleton Corners,"40.626832,-74.125208",108.0
267,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.62776,-74.07766",242.0
15,West New Brighton-Silver Lake-Grymes Hill,"40.628858,-74.116321",4.0
325,West New Brighton-Silver Lake-Grymes Hill,"40.629042,-74.115975",36.0
321,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.629336,-74.076689",40.0
117,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.629791,-74.076621",20.0
317,Borough Park,"40.630239,-73.985805",210.0
235,West New Brighton-Silver Lake-Grymes Hill,"40.630411,-74.089397",125.0
69,Borough Park,"40.63058,-73.977328",4.0
471,Borough Park,"40.630641,-73.977573",90.0
85,West New Brighton-Silver Lake-Grymes Hill,"40.630666,-74.105476",92.0
65,Mariner's Harbor-Arlington-Graniteville,"40.631046,-74.147063",73.0
258,Mariner's Harbor-Arlington-Graniteville,"40.631687,-74.151795",465.0
217,Borough Park,"40.632839,-74.005321",184.0
251,Borough Park,"40.632924,-73.990247",3.0
54,West New Brighton-Silver Lake-Grymes Hill,"40.633778,-74.085986",3.0
457,Port Richmond,"40.633841,-74.125398",153.0
262,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.633974,-74.085579",273.0
198,Bay Ridge,"40.634412,-74.02321",1.0
498,West New Brighton-Silver Lake-Grymes Hill,"40.634584,-74.117749",1.0
187,West New Brighton-Silver Lake-Grymes Hill,"40.634629,-74.11213",19.0
38,West New Brighton-Silver Lake-Grymes Hill,"40.634635,-74.086666",257.0
193,West New Brighton-Silver Lake-Grymes Hill,"40.634649,-74.108527",161.0
364,West New Brighton-Silver Lake-Grymes Hill,"40.634709,-74.114634",12.0
493,West New Brighton-Silver Lake-Grymes Hill,"40.634794,-74.111842",189.0
319,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.634895,-74.075448",41.0
81,Port Richmond,"40.635935,-74.135065",60.0
414,Port Richmond,"40.636099,-74.134826",128.0
486,Sunset Park (Central),"40.636607,-74.01154",391.0
36,Mariner's Harbor-Arlington-Graniteville,"40.636777,-74.157557",13.0
355,Mariner's Harbor-Arlington-Graniteville,"40.63699,-74.159932",18.0
482,West New Brighton-Silver Lake-Grymes Hill,"40.637398,-74.1127",203.0
304,Mariner's Harbor-Arlington-Graniteville,"40.63791,-74.162089",3.0
269,Port Richmond,"40.638743,-74.132956",797.0
367,Sunset Park (Central),"40.639261,-74.015951",12.0
300,Sunset Park (Central),"40.639689,-74.015843",374.0
454,Port Richmond,"40.640318,-74.130766",107.0
1,Sunset Park (Central),"40.640578,-74.018124",184.0
153,St. George-New Brighton,"40.64065,-74.095176",103.0
363,St. George-New Brighton,"40.641114,-74.094946",36.0
19,West New Brighton-Silver Lake-Grymes Hill,"40.641784,-74.1155",53.0
150,Borough Park,"40.64189,-73.981284",7.0
39,Kensington,"40.642696,-73.979883",5.0
31,Sunset Park (West),"40.643233,-74.012374",3.0
274,Kensington,"40.643612,-73.97723",225.0
30,Sunset Park (Central),"40.644183,-74.011174",5.0
110,Kensington,"40.644332,-73.975965",2.0
223,Sunset Park (East)-Borough Park (West),"40.644356,-73.992613",156.0
338,Sunset Park (Central),"40.644861,-74.010021",44.0
176,Kensington,"40.644999,-73.973952",429.0
451,Sunset Park (Central),"40.645297,-74.010014",56.0
445,Kensington,"40.645396,-73.973514",155.0
163,Sunset Park (West),"40.645434,-74.013992",14.0
413,Kensington,"40.645476,-73.979895",107.0
283,Sunset Park (East)-Borough Park (West),"40.645704,-73.994843",1.0
136,Sunset Park (East)-Borough Park (West),"40.645918,-73.994923",15.0
436,St. George-New Brighton,"40.646355,-74.07844",178.0
362,St. George-New Brighton,"40.646592,-74.089208",1.0
275,St. George-New Brighton,"40.646853,-74.088536",1.0
24,Sunset Park (East)-Borough Park (West),"40.647018,-73.996987",49.0
139,St. George-New Brighton,"40.647292,-74.081124",206.0
358,St. George-New Brighton,"40.647418,-74.087873",190.0
134,Sunset Park (Central),"40.647523,-73.997614",294.0
380,St. George-New Brighton,"40.647757,-74.086966",17.0
240,Sunset Park (Central),"40.648374,-73.999232",258.0
316,Flatbush,"40.649313,-73.963199",5.0
469,East Flatbush-Erasmus,"40.650764,-73.949277",148.0
390,Sunset Park (West),"40.652335,-74.005795",254.0
397,Sunset Park (West),"40.653814,-74.00524",21.0
127,Sunset Park (West),"40.654972,-74.010181",25.0
298,Rosedale,"40.657435,-73.741759",236.0
190,Rosedale,"40.657503,-73.744956",447.0
42,Windsor Terrace-South Slope,"40.659626,-73.977217",5.0
279,Prospect Park,"40.66007,-73.977772",240.0
185,Springfield Gardens (South)-Brookville,"40.66397,-73.768465",282.0
264,Springfield Gardens (South)-Brookville,"40.664368,-73.768265",122.0
495,Howard Beach-Lindenwood,"40.664506,-73.849797",2.0
335,Rosedale,"40.66568,-73.73623",42.0
183,Park Slope,"40.665909,-73.982287",277.0
204,East New York-New Lots,"40.666296,-73.882727",9.0
476,Park Slope,"40.666648,-73.981897",4.0
34,Laurelton,"40.667131,-73.757121",22.0
315,Park Slope,"40.667271,-73.981178",11.0
500,Springfield Gardens (North)-Rochdale Village,"40.667706,-73.780563",172.0
412,Park Slope,"40.66891,-73.986637",331.0
70,Park Slope,"40.668915,-73.985988",108.0
106,Park Slope,"40.668923,-73.979777",3.0
322,Park Slope,"40.669431,-73.98597",57.0
356,Park Slope,"40.669432,-73.986637",211.0
14,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.669918,-73.989286",71.0
460,Park Slope,"40.67017,-73.985584",163.0
449,Park Slope,"40.67057,-73.985025",3.0
35,Ozone Park,"40.67075,-73.842631",310.0
502,Laurelton,"40.670818,-73.756361",146.0
66,Park Slope,"40.671805,-73.983994",29.0
383,Laurelton,"40.671935,-73.756343",1.0
83,Springfield Gardens (North)-Rochdale Village,"40.67218,-73.761233",306.0
2,Prospect Park,"40.672222,-73.969008",1.0
420,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.674045,-74.002126",137.0
504,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.674894,-74.001108",93.0
152,Brownsville,"40.67504,-73.904496",14.0
206,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.675698,-74.014662",6.0
485,Laurelton,"40.676343,-73.740813",197.0
479,Ozone Park,"40.676648,-73.843509",292.0
483,East New York (North),"40.676651,-73.890777",58.0
354,Park Slope,"40.676682,-73.98019",217.0
438,Park Slope,"40.676845,-73.973898",67.0
428,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.676988,-74.013231",7.0
368,Laurelton,"40.677514,-73.744248",2.0
55,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.677757,-74.012326",335.0
154,Prospect Heights,"40.677797,-73.973229",12.0
373,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.679115,-74.010729",34.0
44,Bedford-Stuyvesant (East),"40.67919,-73.928636",295.0
188,South Ozone Park,"40.679819,-73.837991",304.0
272,Ozone Park,"40.679836,-73.844731",331.0
88,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.680191,-74.009468",704.0
144,Ozone Park,"40.68026,-73.842066",2.0
232,Ozone Park,"40.680473,-73.842372",1.0
18,Cypress Hills,"40.680846,-73.891895",125.0
82,South Ozone Park,"40.681321,-73.83882",123.0
427,Cypress Hills,"40.681721,-73.871923",148.0
303,Park Slope,"40.681882,-73.976787",17.0
468,South Ozone Park,"40.682029,-73.836716",39.0
450,Ocean Hill,"40.683212,-73.91117",134.0
109,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.683269,-74.003479",311.0
424,Downtown Brooklyn-DUMBO-Boerum Hill,"40.687563,-73.986727",210.0
84,Woodhaven,"40.687999,-73.84986",15.0
